Age,Assignment_Score,Attendance_Score,Distance_from_Home,Exam_Score,Extracurricular,Family_Income,Gender,Grade,Internet,Learning_Disabilities,Motivation_Level,Parent_Education,Parental_Involvement,Participation,Peer_Influence,Physical_Activity,Resources,Sleep_Hours,Social_Media,Stress_Level,Study_Hours_per_Week,Teacher_Quality,Total_Score,Tutoring_Sessions
22,97.0,83.0,Near,70.0,Yes,Medium,Male,B,Yes,No,Low,High School,Medium,No,Positive,4,Medium,8,1,High,20,Medium,80.7,2
22,72.0,82.0,Near,66.0,Yes,Medium,Male,C,Yes,No,Medium,Postgraduate,Medium,No,Positive,3,Medium,8,2,High,8,Medium,71.0,2
18,74.0,78.0,Near,65.0,Yes,Low,Male,C,Yes,No,Medium,Postgraduate,Medium,No,Neutral,4,High,8,16,Low,9,Medium,70.3,1
29,70.0,68.0,Near,64.0,No,Medium,Female,D,Yes,No,Medium,High School,Medium,No,Positive,4,Medium,8,0,Medium,16,Medium,66.6,2
23,65.0,60.0,Near,60.0,Yes,High,Male,D,Yes,No,Low,College,Medium,No,Positive,3,Low,10,1,High,13,Medium,61.5,0
29,82.0,70.0,Near,65.0,Yes,Low,Female,C,Yes,No,Medium,High School,Low,No,Neutral,3,Medium,6,27,Medium,21,High,71.1,1
29,91.0,80.0,Moderate,67.0,Yes,Low,Female,C,Yes,No,Low,College,Medium,No,Positive,2,Medium,9,13,Medium,14,Medium,76.8,3
19,58.0,75.0,Near,66.0,Yes,Medium,Male,D,Yes,No,Medium,College,Medium,No,Positive,4,High,7,5,High,11,Medium,65.4,3
29,99.0,78.0,Moderate,69.0,No,High,Female,C,Yes,No,High,High School,Medium,Yes,Negative,1,Medium,5,27,Medium,28,Medium,79.8,0
22,84.0,99.0,Near,72.0,No,Medium,Male,B,Yes,No,Medium,High School,Medium,No,Neutral,3,High,6,8,High,18,High,81.0,1
23,89.0,74.0,Moderate,66.0,No,Medium,Female,C,Yes,No,Low,College,Medium,No,Negative,2,High,8,9,High,19,Medium,74.5,1
24,100.0,78.0,Moderate,66.0,Yes,Low,Male,C,Yes,No,High,High School,High,No,Neutral,3,Medium,8,5,Low,10,Medium,78.6,1
19,75.0,65.0,Near,63.0,Yes,Low,Female,D,Yes,No,Medium,High School,Low,No,Positive,3,High,5,0,Low,16,Medium,67.0,2
24,54.0,62.0,Far,64.0,Yes,High,Male,D,Yes,No,High,Postgraduate,High,No,Positive,3,Low,6,2,Low,20,High,60.6,0
29,90.0,91.0,Moderate,65.0,No,High,Female,C,Yes,Yes,Medium,High School,Low,Yes,Negative,2,Medium,6,27,Medium,12,Medium,77.7,1
23,94.0,83.0,Moderate,71.0,Yes,High,Male,B,Yes,No,Medium,College,High,No,Neutral,2,High,6,8,High,21,Medium,80.3,0
29,58.0,90.0,Moderate,66.0,No,Low,Female,D,Yes,No,Medium,High School,Medium,No,Neutral,3,Medium,4,0,Medium,15,Medium,68.4,1
22,51.0,66.0,Near,64.0,No,Low,Male,D,Yes,No,Low,College,High,No,Neutral,2,High,4,1,High,17,Medium,60.5,2
29,57.0,83.0,Near,63.0,No,High,Female,D,Yes,Yes,Medium,High School,Low,Yes,Positive,4,Medium,6,0,Medium,15,Low,65.2,0
23,66.0,70.0,Near,69.0,Yes,High,Male,D,Yes,No,Medium,College,Medium,No,Negative,3,High,7,3,High,30,Medium,68.3,1
22,96.0,69.0,Near,67.0,Yes,Medium,Male,C,Yes,No,Medium,High School,Medium,No,Positive,3,Medium,8,5,High,19,High,76.1,2
29,50.0,60.0,Near,61.0,No,Medium,Female,F,Yes,No,Medium,College,High,No,Neutral,3,Medium,5,13,Medium,13,Medium,57.5,2
29,90.0,65.0,Moderate,68.0,No,Medium,Female,C,Yes,No,Medium,College,High,No,Positive,3,Medium,5,6,Medium,24,Medium,74.0,2
27,93.0,72.0,Near,61.0,No,Low,Male,C,Yes,No,Low,High School,Low,No,Negative,3,Medium,6,2,Medium,12,Medium,72.8,1
23,91.0,65.0,Far,64.0,Yes,Medium,Female,C,Yes,No,Low,High School,Medium,Yes,Positive,3,Low,7,0,High,20,High,72.3,2
25,54.0,99.0,Near,67.0,No,Low,Female,D,Yes,No,Low,Postgraduate,Medium,No,Neutral,5,Medium,9,19,Medium,7,Medium,69.5,2
29,84.0,72.0,Near,63.0,Yes,Low,Female,C,Yes,No,Medium,High School,Low,No,Positive,5,Medium,8,27,Medium,11,Medium,71.1,1
22,98.0,65.0,Near,64.0,Yes,Medium,Male,C,Yes,No,Low,High School,Low,No,Negative,4,Medium,6,5,High,20,High,74.4,1
23,56.0,68.0,Near,67.0,No,High,Male,D,Yes,No,Low,College,High,No,Neutral,1,Medium,8,1,High,23,High,63.9,3
23,52.0,84.0,Far,65.0,Yes,Medium,Female,D,Yes,Yes,Low,College,Medium,No,Neutral,2,Medium,6,0,High,20,High,64.9,1
22,94.0,63.0,Moderate,64.0,No,Medium,Male,C,Yes,No,Medium,High School,Low,No,Positive,3,High,7,2,High,18,Medium,72.8,1
22,82.0,94.0,Near,70.0,Yes,Medium,Male,C,Yes,Yes,Medium,College,Medium,No,Negative,2,High,7,2,High,17,Medium,78.4,3
22,82.0,98.0,Far,68.0,Yes,Medium,Male,C,Yes,No,Low,Postgraduate,Medium,No,Positive,3,Medium,9,2,High,10,Medium,78.2,1
22,98.0,70.0,Moderate,65.0,Yes,Medium,Male,C,Yes,No,Medium,High School,Medium,No,Positive,3,Medium,8,5,High,15,Medium,75.9,2
29,88.0,78.0,Near,68.0,Yes,Medium,Female,C,Yes,No,Medium,College,Medium,No,Positive,3,Medium,6,13,Medium,16,High,76.0,1
29,70.0,61.0,Moderate,64.0,Yes,Low,Female,D,Yes,No,Medium,High School,Medium,No,Positive,3,Low,6,0,Medium,25,Medium,65.2,2
22,72.0,86.0,Moderate,68.0,Yes,Low,Male,C,Yes,No,Low,High School,Low,No,Positive,2,Medium,7,18,High,21,High,72.8,3
22,57.0,77.0,Near,63.0,No,Medium,Male,D,Yes,No,Medium,High School,Medium,No,Neutral,3,Medium,5,30,High,8,High,64.0,2
19,65.0,71.0,Moderate,64.0,Yes,Medium,Male,D,Yes,No,Low,College,Low,No,Positive,4,Medium,7,1,High,21,Low,65.7,1
22,72.0,68.0,Near,64.0,No,Medium,Male,D,Yes,No,Medium,College,High,No,Neutral,3,Medium,7,1,High,17,Medium,67.2,0
22,63.0,86.0,Near,67.0,Yes,Medium,Male,D,Yes,No,Medium,High School,Low,No,Positive,4,Medium,8,1,High,15,Medium,69.6,2
23,96.0,77.0,Near,67.0,No,Medium,Female,C,Yes,No,Medium,High School,High,Yes,Neutral,3,Low,8,27,High,23,Medium,77.7,0
23,51.0,67.0,Far,66.0,Yes,High,Female,D,Yes,Yes,Low,Postgraduate,Medium,Yes,Neutral,4,High,7,19,High,25,High,61.7,2
19,79.0,88.0,Moderate,72.0,Yes,Low,Male,C,Yes,No,Medium,College,Medium,No,Positive,4,High,5,15,Low,25,High,77.3,1
21,89.0,83.0,Near,65.0,No,Medium,Female,C,No,Yes,Low,High School,Medium,Yes,Neutral,2,High,5,27,High,14,High,75.8,1
22,87.0,94.0,Near,71.0,Yes,Medium,Male,B,Yes,No,High,High School,Medium,No,Positive,4,Medium,6,5,High,17,Medium,80.4,1
23,82.0,65.0,Near,66.0,No,Medium,Female,C,Yes,No,Medium,Postgraduate,High,No,Positive,1,Low,8,13,High,21,High,70.6,2
24,71.0,91.0,Moderate,68.0,Yes,Low,Male,C,Yes,No,Medium,High School,Medium,No,Neutral,3,Low,8,18,Low,25,Medium,73.5,0
25,96.0,87.0,Near,70.0,No,High,Female,B,Yes,No,Medium,Postgraduate,Medium,Yes,Negative,5,Medium,7,4,Medium,16,Medium,81.2,1
22,66.0,65.0,Moderate,62.0,Yes,Low,Male,D,Yes,No,Low,High School,Medium,No,Positive,3,Medium,10,1,High,18,Medium,63.8,0
19,88.0,88.0,Far,68.0,Yes,Low,Male,C,Yes,No,High,Postgraduate,Low,No,Negative,4,High,9,2,Low,12,High,78.0,2
19,96.0,78.0,Moderate,67.0,Yes,Low,Male,C,Yes,No,High,College,Medium,No,Neutral,3,High,9,2,Low,12,Medium,77.9,2
21,56.0,98.0,Near,71.0,Yes,Medium,Male,C,No,No,Medium,Postgraduate,Low,No,Neutral,3,High,8,2,High,24,High,71.9,0
22,97.0,66.0,Near,68.0,Yes,Medium,Male,C,Yes,No,Medium,High School,Medium,No,Neutral,2,High,8,18,High,27,Medium,76.3,0
19,89.0,86.0,Near,69.0,Yes,Low,Male,C,Yes,No,Medium,Postgraduate,Medium,No,Negative,3,Medium,8,2,Low,19,Medium,78.4,1
18,81.0,75.0,Moderate,70.0,Yes,Medium,Male,C,Yes,No,High,High School,Low,No,Positive,2,High,4,16,Low,25,High,74.3,3
23,69.0,98.0,Moderate,69.0,No,Low,Female,C,No,No,Low,High School,Medium,Yes,Negative,4,High,5,27,High,21,High,74.8,1
27,95.0,73.0,Near,65.0,No,Low,Male,C,Yes,No,Medium,College,Medium,No,Negative,4,Medium,7,2,Medium,15,Medium,75.6,1
18,52.0,98.0,Near,70.0,Yes,Medium,Female,C,No,No,Medium,College,Medium,Yes,Positive,3,Low,7,4,Low,21,Medium,70.2,3
23,72.0,96.0,Moderate,71.0,Yes,Low,Male,C,Yes,No,Medium,High School,Medium,No,Positive,3,Low,7,5,High,28,Medium,76.3,1
25,88.0,71.0,Near,65.0,Yes,Low,Female,C,Yes,No,Medium,College,Medium,No,Neutral,4,Medium,7,13,Medium,19,Low,73.1,1
25,91.0,92.0,Near,72.0,No,Medium,Female,B,Yes,No,Medium,Postgraduate,Low,No,Negative,1,Medium,4,6,Medium,28,Medium,81.7,2
22,60.0,100.0,Moderate,69.0,Yes,Medium,Male,C,Yes,No,High,College,High,No,Positive,4,High,8,29,High,3,High,72.5,0
25,52.0,70.0,Near,66.0,No,Medium,Female,D,Yes,No,Medium,Postgraduate,Medium,No,Positive,3,Medium,7,19,Medium,24,Medium,62.6,1
22,90.0,77.0,Moderate,68.0,Yes,Medium,Male,C,Yes,No,Medium,Postgraduate,Low,No,Neutral,3,Medium,7,14,High,20,Medium,76.4,4
23,71.0,81.0,Moderate,65.0,Yes,Medium,Female,C,Yes,No,Medium,High School,High,No,Neutral,3,Low,8,27,High,17,Medium,70.0,0
23,57.0,72.0,Moderate,64.0,Yes,High,Male,D,Yes,Yes,Medium,College,Medium,No,Neutral,5,Medium,5,1,High,20,Medium,63.5,1
23,54.0,61.0,Near,60.0,Yes,High,Male,F,Yes,No,Medium,College,Medium,No,Positive,3,Medium,7,2,High,7,Medium,58.4,1
19,82.0,69.0,Near,65.0,Yes,Low,Male,C,Yes,No,High,High School,Medium,No,Negative,2,High,7,5,Low,18,Medium,70.9,1
29,79.0,71.0,Near,66.0,No,Low,Male,C,Yes,No,High,High School,High,No,Positive,3,Medium,6,5,Medium,21,Low,70.9,1
22,93.0,78.0,Near,74.0,Yes,Medium,Male,B,Yes,No,Low,College,High,No,Neutral,3,High,4,8,High,28,High,80.5,5
29,52.0,67.0,Far,62.0,Yes,Medium,Female,D,Yes,No,High,High School,Medium,No,Negative,3,Medium,5,0,Medium,16,Medium,60.0,2
27,93.0,95.0,Moderate,70.0,No,Low,Male,B,Yes,No,Medium,College,Medium,No,Positive,4,Medium,7,2,Medium,14,Medium,81.9,2
19,94.0,88.0,Near,69.0,Yes,Medium,Male,B,Yes,No,Low,High School,Medium,No,Neutral,3,High,7,5,High,16,Medium,80.3,0
22,72.0,63.0,Far,67.0,Yes,Medium,Male,D,Yes,No,Medium,College,Medium,No,Negative,4,High,7,12,High,24,High,67.7,3
24,54.0,86.0,Moderate,64.0,No,Medium,Male,D,Yes,No,Medium,High School,Low,No,Neutral,0,Low,6,1,High,21,Medium,65.4,2
23,97.0,86.0,Near,71.0,No,High,Male,B,Yes,No,High,College,Medium,No,Neutral,3,High,5,8,High,16,Medium,81.8,3
24,54.0,98.0,Near,68.0,Yes,Medium,Female,D,Yes,No,Low,College,Medium,No,Negative,3,Low,7,0,High,22,Medium,69.8,0
22,80.0,60.0,Near,64.0,No,Medium,Male,D,Yes,Yes,Medium,College,High,No,Neutral,4,Medium,7,1,High,20,High,68.0,0
29,75.0,70.0,Far,63.0,Yes,Medium,Female,D,Yes,Yes,Medium,High School,Medium,No,Neutral,4,Low,8,0,Medium,25,Low,68.0,1
23,92.0,97.0,Near,71.0,Yes,High,Male,B,Yes,No,Low,College,Medium,No,Positive,4,Medium,6,8,High,15,Medium,82.5,0
19,75.0,97.0,Moderate,69.0,Yes,Low,Male,C,Yes,No,Low,High School,High,No,Positive,3,Medium,4,5,High,17,Medium,76.4,0
23,73.0,89.0,Near,100.0,Yes,High,Female,B,Yes,No,Medium,College,High,Yes,Positive,2,Medium,4,27,Medium,17,Medium,89.7,3
22,94.0,91.0,Moderate,68.0,No,Medium,Male,B,Yes,No,Medium,College,Medium,No,Neutral,3,Medium,6,30,High,10,Medium,80.4,3
21,98.0,64.0,Near,62.0,No,Medium,Male,C,No,No,Low,High School,Low,No,Negative,3,Medium,7,15,High,21,Medium,73.2,1
23,77.0,81.0,Far,68.0,Yes,Medium,Female,C,Yes,No,Low,Postgraduate,Medium,No,Positive,3,Medium,7,13,High,21,Medium,73.3,2
19,73.0,69.0,Far,66.0,Yes,Low,Male,D,Yes,No,Medium,High School,High,No,Positive,3,High,6,30,Low,19,Medium,68.7,2
25,92.0,67.0,Near,64.0,No,Medium,Male,C,Yes,No,High,College,Low,No,Positive,3,Medium,5,15,High,18,Medium,73.0,0
22,92.0,92.0,Moderate,67.0,No,Medium,Male,C,Yes,Yes,High,High School,Medium,No,Neutral,3,Medium,4,5,High,11,High,79.5,2
23,66.0,65.0,Moderate,65.0,Yes,High,Female,D,Yes,Yes,Medium,Postgraduate,Medium,Yes,Neutral,4,High,8,19,High,16,High,65.3,1
24,79.0,79.0,Far,65.0,Yes,Low,Male,C,Yes,No,Medium,College,Medium,No,Neutral,3,Medium,7,2,Low,17,High,72.0,0
19,58.0,98.0,Near,69.0,No,Low,Male,C,Yes,No,High,College,High,No,Positive,3,Medium,6,5,Medium,14,High,71.5,0
29,82.0,67.0,Near,63.0,No,Low,Male,D,Yes,No,High,High School,Medium,No,Negative,3,Medium,5,1,Medium,18,Low,69.5,1
24,92.0,99.0,Moderate,72.0,Yes,Medium,Male,B,Yes,No,Low,Postgraduate,Medium,No,Negative,4,Low,6,8,High,21,Medium,83.4,3
23,59.0,100.0,Moderate,76.0,No,High,Male,C,Yes,No,Medium,Postgraduate,Medium,No,Positive,5,Medium,7,2,High,30,High,75.7,2
19,66.0,82.0,Near,69.0,Yes,Low,Female,C,Yes,Yes,High,College,Medium,No,Positive,3,High,7,27,Low,20,Medium,70.7,3
23,72.0,67.0,Moderate,67.0,Yes,Low,Female,D,Yes,No,High,Postgraduate,Medium,No,Positive,2,Medium,7,19,Medium,21,High,68.5,3
19,92.0,73.0,Near,69.0,Yes,Medium,Male,C,Yes,No,Medium,College,High,No,Positive,3,Medium,9,5,High,19,High,76.7,2
24,87.0,77.0,Moderate,63.0,Yes,Low,Male,C,Yes,No,Medium,High School,High,No,Neutral,2,Medium,6,14,Low,7,Medium,73.0,0
27,66.0,72.0,Near,67.0,No,Low,Male,D,Yes,No,Medium,Postgraduate,Medium,No,Positive,3,Medium,9,2,Medium,19,High,67.7,3
22,62.0,71.0,Near,66.0,Yes,Medium,Male,D,Yes,No,High,College,Low,No,Negative,5,High,7,1,High,19,Medium,65.8,2
23,85.0,99.0,Near,79.0,Yes,Medium,Female,B,Yes,No,Low,Postgraduate,High,No,Neutral,2,High,7,13,High,34,High,84.8,2
29,74.0,66.0,Near,64.0,No,High,Female,D,Yes,No,Medium,High School,Medium,Yes,Neutral,3,Medium,8,0,Medium,18,Medium,67.4,1
23,80.0,89.0,Near,73.0,Yes,High,Female,C,Yes,No,Medium,High School,High,Yes,Positive,3,High,6,27,High,21,High,78.3,1
22,82.0,60.0,Near,63.0,No,Low,Male,D,Yes,Yes,High,High School,Low,No,Positive,4,High,7,1,High,19,High,68.1,2
27,78.0,84.0,Near,65.0,No,Low,Male,C,Yes,No,Medium,High School,Medium,No,Positive,2,Medium,5,2,Medium,12,High,72.7,1
23,81.0,97.0,Near,73.0,Yes,High,Female,B,Yes,No,Medium,High School,Low,Yes,Positive,5,High,8,27,High,26,Medium,80.2,0
20,94.0,72.0,Moderate,70.0,Yes,Low,Female,C,Yes,No,Low,College,High,No,Positive,4,High,8,4,Low,24,Medium,77.6,2
29,93.0,67.0,Near,68.0,No,Low,Female,C,Yes,Yes,High,High School,High,No,Positive,3,Medium,9,12,Medium,24,High,75.3,2
22,57.0,86.0,Near,65.0,Yes,Medium,Male,D,Yes,No,Medium,College,Medium,No,Negative,3,Medium,7,1,High,14,Medium,66.8,1
23,79.0,89.0,Moderate,71.0,Yes,Low,Female,C,Yes,No,High,College,Low,No,Positive,1,High,9,17,Low,27,Medium,77.0,0
22,72.0,88.0,Far,64.0,No,Medium,Male,C,Yes,No,Low,College,Low,No,Positive,2,Medium,6,12,High,11,Medium,71.2,2
23,64.0,73.0,Moderate,68.0,Yes,High,Male,D,Yes,Yes,Medium,College,Medium,No,Neutral,3,High,8,30,High,23,Medium,67.8,4
29,82.0,70.0,Near,69.0,Yes,Low,Male,C,Yes,No,Low,College,Medium,No,Neutral,4,Medium,6,15,High,32,High,73.1,1
29,76.0,98.0,Moderate,69.0,No,Medium,Female,C,Yes,No,Medium,College,Medium,No,Positive,4,Medium,7,6,Medium,13,High,76.9,0
29,89.0,97.0,Far,69.0,No,Low,Male,B,Yes,No,Medium,High School,Medium,No,Neutral,4,Medium,8,5,Medium,16,High,80.6,1
23,55.0,78.0,Near,67.0,Yes,High,Male,D,Yes,No,Medium,College,Medium,No,Positive,2,Medium,10,1,High,20,Low,65.6,1
29,65.0,94.0,Far,68.0,Yes,Medium,Female,C,Yes,No,Low,High School,Low,Yes,Neutral,6,Medium,8,0,High,16,Medium,72.3,4
19,51.0,78.0,Near,64.0,Yes,Low,Male,D,Yes,No,Medium,Postgraduate,Medium,No,Neutral,3,High,8,2,Low,10,Medium,62.9,2
29,87.0,77.0,Near,66.0,No,Low,Female,C,Yes,No,Low,High School,Medium,No,Positive,4,Medium,6,27,Medium,19,High,74.5,0
24,96.0,66.0,Near,63.0,No,Low,Male,C,Yes,No,Medium,High School,High,No,Negative,3,Low,7,15,High,13,High,73.5,3
24,79.0,77.0,Moderate,66.0,Yes,Low,Male,C,Yes,No,Medium,High School,Medium,No,Neutral,2,Medium,7,5,Low,22,High,72.1,0
25,81.0,81.0,Near,66.0,No,Low,Female,C,Yes,No,Medium,Postgraduate,Medium,No,Negative,3,Medium,9,6,Medium,13,High,73.5,1
23,52.0,61.0,Near,67.0,Yes,Low,Female,D,Yes,No,Low,College,Medium,No,Positive,3,High,7,0,High,28,Medium,61.3,3
22,75.0,78.0,Near,65.0,No,Low,Male,C,Yes,No,Low,High School,High,No,Negative,1,High,9,18,High,14,Medium,70.6,1
29,76.0,91.0,Near,68.0,Yes,Medium,Female,C,Yes,No,Medium,High School,Low,No,Neutral,3,Medium,5,6,Medium,17,Medium,75.0,1
24,52.0,87.0,Near,68.0,No,Low,Male,D,Yes,No,High,High School,Medium,No,Positive,2,Low,9,30,Medium,24,High,67.0,1
23,89.0,85.0,Near,65.0,No,High,Male,C,Yes,Yes,Medium,High School,High,No,Neutral,1,Medium,6,5,High,12,Medium,76.2,0
22,64.0,96.0,Near,71.0,No,Medium,Male,C,Yes,No,High,College,Medium,No,Neutral,0,Medium,8,14,High,20,High,73.9,2
22,86.0,61.0,Far,65.0,No,Low,Male,C,Yes,Yes,High,Postgraduate,Medium,No,Negative,3,High,6,2,High,27,Medium,70.5,1
23,70.0,82.0,Near,64.0,No,Low,Female,D,Yes,Yes,Medium,Postgraduate,Medium,No,Positive,1,Low,8,19,Medium,9,High,69.4,3
23,100.0,91.0,Near,72.0,No,High,Female,B,Yes,No,Medium,Postgraduate,High,Yes,Neutral,2,Medium,6,6,Medium,20,Medium,84.2,0
29,61.0,82.0,Near,65.0,No,Low,Female,D,Yes,Yes,Medium,High School,Medium,No,Negative,2,Medium,9,0,Medium,21,Medium,67.2,2
18,53.0,73.0,Near,66.0,No,Low,Female,D,No,No,High,Postgraduate,Medium,Yes,Negative,5,High,8,26,Low,24,High,63.5,0
22,99.0,65.0,Near,61.0,No,Low,Male,C,Yes,No,Medium,High School,Low,No,Negative,4,High,6,15,High,12,Medium,73.2,0
23,62.0,96.0,Near,68.0,Yes,Medium,Female,C,Yes,No,Medium,College,Low,No,Negative,3,High,8,27,High,11,High,71.8,2
22,82.0,79.0,Moderate,69.0,Yes,Medium,Female,C,Yes,Yes,Low,Postgraduate,High,No,Negative,3,High,8,20,High,22,Medium,74.9,3
23,69.0,95.0,Near,72.0,Yes,Low,Female,C,Yes,No,Medium,College,Medium,No,Positive,3,High,6,6,High,21,Medium,75.7,1
23,82.0,83.0,Near,71.0,Yes,Low,Female,C,Yes,No,Medium,Postgraduate,Medium,No,Positive,3,High,5,13,High,21,High,76.7,2
23,80.0,87.0,Near,70.0,No,Low,Female,C,Yes,No,Low,High School,High,No,Negative,3,High,5,27,High,21,High,76.4,2
22,85.0,92.0,Moderate,68.0,Yes,Low,Male,C,Yes,No,Low,High School,Medium,No,Neutral,2,High,5,18,High,15,Medium,77.9,1
29,51.0,86.0,Moderate,67.0,Yes,Low,Female,D,Yes,No,Medium,High School,Low,No,Positive,2,Medium,5,0,Medium,20,High,66.0,2
29,92.0,76.0,Near,68.0,Yes,Low,Female,C,Yes,No,Medium,High School,Medium,No,Neutral,4,Medium,8,27,Medium,21,High,76.8,1
29,74.0,81.0,Near,68.0,Yes,Medium,Female,C,Yes,No,Medium,Postgraduate,Medium,Yes,Positive,2,Medium,8,4,Medium,15,Medium,72.4,3
22,76.0,92.0,Far,72.0,Yes,Medium,Male,C,Yes,Yes,Medium,High School,Medium,No,Positive,4,Medium,4,29,High,30,High,77.2,2
22,71.0,75.0,Near,65.0,No,Medium,Male,D,Yes,No,Low,College,Low,No,Neutral,2,High,6,5,High,22,Medium,68.8,0
22,99.0,76.0,Near,66.0,No,Medium,Female,C,Yes,No,Low,High School,Medium,No,Positive,4,High,5,27,High,12,Medium,77.9,2
24,90.0,64.0,Near,65.0,Yes,Low,Male,C,Yes,No,High,High School,Medium,No,Negative,3,Medium,8,29,Low,23,High,72.3,0
25,66.0,97.0,Near,67.0,Yes,Medium,Female,C,Yes,Yes,Medium,College,Medium,Yes,Negative,3,Medium,6,13,Medium,13,Medium,72.7,2
22,89.0,64.0,Far,66.0,No,Medium,Male,C,Yes,No,Low,College,Medium,No,Neutral,4,High,5,2,High,24,Medium,72.5,2
29,72.0,86.0,Far,69.0,No,Medium,Male,C,Yes,No,Low,High School,Medium,No,Positive,4,Medium,7,5,High,26,High,73.3,1
23,94.0,77.0,Moderate,66.0,Yes,High,Male,C,Yes,No,Low,College,Medium,No,Positive,3,Medium,8,14,High,14,High,76.6,0
22,52.0,76.0,Near,69.0,Yes,High,Male,D,Yes,No,Medium,High School,Medium,No,Neutral,3,High,6,3,High,25,Low,65.3,4
18,68.0,87.0,Near,67.0,Yes,Low,Male,C,No,No,Medium,High School,High,No,Neutral,2,Low,7,5,Low,21,Medium,71.3,0
22,71.0,63.0,Near,66.0,Yes,Medium,Male,D,Yes,No,Medium,High School,High,No,Positive,3,Medium,6,12,High,24,Low,66.9,1
23,87.0,84.0,Far,71.0,Yes,Low,Male,C,Yes,No,Medium,College,Medium,No,Neutral,3,Medium,9,2,High,30,Medium,78.4,2
24,59.0,91.0,Moderate,70.0,No,Medium,Male,C,Yes,No,Medium,College,High,No,Neutral,4,Low,6,2,High,18,High,70.9,5
22,64.0,93.0,Near,71.0,No,Medium,Male,C,Yes,No,Medium,Postgraduate,High,No,Positive,4,Medium,6,13,High,14,High,73.3,2
24,86.0,67.0,Near,66.0,Yes,High,Male,C,Yes,No,High,Postgraduate,Medium,No,Positive,3,Medium,7,2,Low,14,Medium,72.2,1
21,54.0,96.0,Near,67.0,No,Medium,Male,D,No,No,High,High School,Medium,No,Negative,2,Medium,7,1,High,14,High,68.9,3
23,60.0,86.0,Far,66.0,No,Medium,Female,D,Yes,Yes,Medium,College,High,No,Neutral,4,Low,8,0,High,19,Medium,68.2,1
23,88.0,95.0,Near,72.0,No,Low,Male,B,Yes,No,Low,Postgraduate,Medium,No,Positive,2,High,9,8,High,21,High,81.4,0
19,94.0,79.0,Near,68.0,No,Medium,Male,C,Yes,No,Medium,High School,Medium,No,Positive,3,Medium,9,18,High,21,Medium,78.0,1
29,86.0,82.0,Near,69.0,No,Low,Female,C,No,No,Medium,High School,Medium,Yes,Positive,3,Medium,6,12,Medium,24,High,76.7,3
23,76.0,97.0,Near,71.0,Yes,Low,Male,C,Yes,No,Low,Postgraduate,Medium,No,Positive,3,Medium,7,14,High,19,Low,77.7,2
18,55.0,96.0,Far,70.0,Yes,Medium,Female,C,No,No,Low,Postgraduate,Medium,Yes,Neutral,2,Medium,9,4,Low,28,Medium,70.7,0
23,91.0,78.0,Far,67.0,No,High,Female,C,Yes,No,High,College,Medium,Yes,Neutral,4,Medium,9,13,Medium,17,Low,76.4,2
23,56.0,71.0,Far,69.0,Yes,High,Male,D,Yes,No,Medium,High School,Medium,No,Positive,2,Medium,6,3,High,35,Medium,65.5,2
22,69.0,76.0,Moderate,65.0,No,Medium,Male,D,Yes,No,Low,High School,Low,No,Neutral,1,High,8,3,High,23,Medium,68.4,2
